=========================================
           MAGNETOMETER TELEMETRY DATA         
=========================================
FORMAT       : ASCII
SENSOR       : QMC5883P (Channel 6)
DATA_UNIT    : Gauss
MISSION_TIME : 20260714_130803
END_OF_HEADER
TIME_MS            X        Y        Z
=========================================
1000          0.209   -0.058   -0.556
2000          0.212   -0.054   -0.557
3009          0.211   -0.060   -0.548
4018          0.208   -0.055   -0.552
5027          0.213   -0.057   -0.555
6036          0.211   -0.057   -0.555
7045          0.210   -0.057   -0.553
8054          0.209   -0.060   -0.556
9063          0.211   -0.057   -0.549
10072         0.207   -0.056   -0.555
11081         0.210   -0.057   -0.556
12090         0.211   -0.055   -0.549
13099         0.209   -0.054   -0.558
14108         0.205   -0.056   -0.556
15117         0.209   -0.057   -0.548
16126         0.208   -0.057   -0.551
17135         0.207   -0.056   -0.553
18144         0.209   -0.055   -0.555
19153         0.206   -0.054   -0.549
20162         0.207   -0.058   -0.559
21171         0.208   -0.057   -0.558
22180         0.207   -0.056   -0.555
23189         0.207   -0.058   -0.554
24198         0.211   -0.059   -0.550
25207         0.210   -0.059   -0.553
26216         0.207   -0.059   -0.557
27225         0.210   -0.057   -0.557
28234         0.211   -0.056   -0.559
29243         0.209   -0.059   -0.562
30252         0.208   -0.057   -0.550
31261         0.210   -0.057   -0.557
32270         0.211   -0.060   -0.556
33279         0.210   -0.057   -0.559
34288         0.212   -0.059   -0.557
35297         0.210   -0.059   -0.555
36306         0.207   -0.059   -0.561
37315         0.208   -0.061   -0.554
38324         0.207   -0.057   -0.552
39333         0.209   -0.056   -0.556
40342         0.206   -0.061   -0.563
41351         0.209   -0.055   -0.551
42360         0.212   -0.059   -0.553
43369         0.208   -0.059   -0.561
44378         0.211   -0.058   -0.555
45387         0.209   -0.055   -0.554
46396         0.207   -0.062   -0.557
47405         0.213   -0.057   -0.552
48414         0.210   -0.055   -0.549
49423         0.208   -0.060   -0.561
50432         0.213   -0.054   -0.554
51441         0.207   -0.057   -0.554
52450         0.209   -0.060   -0.553
53459         0.210   -0.058   -0.555
54468         0.208   -0.057   -0.557
55477         0.208   -0.061   -0.559
56486         0.212   -0.055   -0.551
57495         0.211   -0.056   -0.557
58504         0.211   -0.058   -0.560
59513         0.210   -0.057   -0.553
60522         0.210   -0.057   -0.555
61531         0.214   -0.057   -0.554
62540         0.211   -0.057   -0.554
63549         0.209   -0.056   -0.556
64558         0.211   -0.059   -0.557
65567         0.211   -0.056   -0.556
66576         0.213   -0.054   -0.554
67585         0.209   -0.058   -0.558
68594         0.209   -0.057   -0.553
69603         0.209   -0.057   -0.545
70612         0.209   -0.060   -0.553
71621         0.209   -0.057   -0.551
72630         0.212   -0.055   -0.552
73639         0.212   -0.060   -0.553
74648         0.212   -0.055   -0.550
75657         0.211   -0.057   -0.553
76666         0.211   -0.058   -0.560
77675         0.209   -0.056   -0.558
78684         0.209   -0.061   -0.556
79693         0.210   -0.059   -0.558
80702         0.210   -0.060   -0.555
81711         0.207   -0.065   -0.554
82720         0.213   -0.061   -0.557
83729         0.210   -0.061   -0.558
84738         0.212   -0.064   -0.562
85747         0.211   -0.060   -0.554
86756         0.211   -0.063   -0.554
87765         0.212   -0.062   -0.555
88774         0.214   -0.059   -0.557
89783         0.214   -0.062   -0.561
90792         0.210   -0.063   -0.554
91801         0.215   -0.062   -0.551
92810         0.211   -0.065   -0.556
93819         0.213   -0.065   -0.554
94828         0.215   -0.060   -0.556
95837         0.212   -0.063   -0.554
96846         0.211   -0.062   -0.560
97855         0.212   -0.062   -0.557
98864         0.212   -0.061   -0.554
99873         0.214   -0.064   -0.554
100882        0.213   -0.062   -0.559
101891        0.213   -0.063   -0.555
102900        0.211   -0.063   -0.557
103909        0.210   -0.064   -0.558
104918        0.215   -0.063   -0.552
105927        0.213   -0.066   -0.556
106936        0.209   -0.060   -0.559
107945        0.211   -0.062   -0.554
108954        0.209   -0.065   -0.557
109963        0.212   -0.064   -0.557
110972        0.212   -0.063   -0.559
111981        0.209   -0.062   -0.557
112990        0.212   -0.064   -0.553
113999        0.213   -0.058   -0.559
115008        0.210   -0.065   -0.556
116017        0.209   -0.063   -0.553
117027        0.212   -0.061   -0.553
118036        0.210   -0.064   -0.557
119046        0.210   -0.064   -0.548
120055        0.212   -0.061   -0.556
121064        0.209   -0.063   -0.556
122073        0.211   -0.064   -0.554
123082        0.209   -0.062   -0.555
124091        0.211   -0.064   -0.556
125100        0.209   -0.063   -0.557
126109        0.212   -0.062   -0.556
127118        0.211   -0.066   -0.561
128127        0.209   -0.064   -0.556
129136        0.213   -0.062   -0.555
130146        0.213   -0.064   -0.556
131155        0.213   -0.064   -0.553
132164        0.211   -0.063   -0.555
133173        0.211   -0.064   -0.562
134183        0.210   -0.061   -0.561
135193        0.211   -0.063   -0.558
136202        0.208   -0.066   -0.558
137211        0.213   -0.061   -0.550
138220        0.214   -0.063   -0.554
139230        0.209   -0.064   -0.556
140239        0.212   -0.065   -0.549
