=========================================
               MAGNETOMETER              
=========================================
FORMAT       : ASCII
SENSOR       : QMC5883L
DATA_UNIT    : Gauss
END_OF_HEADER
TIME_MS           X         Y          Z
43615             0.754     -0.493     -0.261
44116             0.754     -0.490     -0.259
44617             0.755     -0.490     -0.264
45118             0.751     -0.489     -0.263
45619             0.752     -0.490     -0.262
46120             0.753     -0.495     -0.263
46621             0.747     -0.492     -0.264
47122             0.751     -0.495     -0.260
47623             0.757     -0.493     -0.263
48124             0.754     -0.493     -0.261
48625             0.752     -0.490     -0.262
49126             0.751     -0.490     -0.266
49627             0.754     -0.494     -0.259
50128             0.755     -0.492     -0.261
50629             0.753     -0.491     -0.257
51130             0.750     -0.489     -0.262
51631             0.758     -0.494     -0.259
52132             0.749     -0.491     -0.259
52633             0.758     -0.494     -0.261
53134             0.753     -0.497     -0.263
53635             0.754     -0.491     -0.267
54136             0.753     -0.494     -0.262
54637             0.752     -0.490     -0.259
55138             0.750     -0.490     -0.261
55639             0.750     -0.495     -0.260
56140             0.756     -0.494     -0.267
56641             0.756     -0.495     -0.262
57142             0.727     -0.494     -0.274
57643             0.735     -0.481     -0.269
58144             0.727     -0.476     -0.272
58645             0.732     -0.464     -0.269
59146             0.732     -0.484     -0.266
59647             0.747     -0.482     -0.253
60148             0.716     -0.487     -0.273
60649             0.524     -1.092     -0.107
61150             0.669     -0.810     -0.155
61651             0.684     -0.540     -0.379
62152             0.454     -0.663     -0.588
62653             0.664     -0.556     -0.399
63154             0.605     -0.632     -0.382
63655             0.756     -0.495     -0.265
64156             0.756     -0.492     -0.269
64657             0.752     -0.493     -0.267
65158             0.749     -0.494     -0.267
65659             0.755     -0.491     -0.263
66160             0.752     -0.496     -0.265
66661             0.754     -0.490     -0.262
67162             0.753     -0.490     -0.265
67663             0.755     -0.497     -0.266
68164             0.753     -0.493     -0.268
68665             0.752     -0.492     -0.267
69166             0.752     -0.497     -0.263
69667             0.755     -0.491     -0.267
70168             0.757     -0.495     -0.264
